Date,Close,High,Low,Open,Volume
2016-09-26,182.95999145507812,183.80543861796872,182.7635631176334,183.62610686926803,89827300
2016-09-27,184.0958251953125,184.18975219520743,182.43052346410076,182.79774832315172,78494800
2016-09-28,185.009521484375,185.16324739802008,183.36131698649547,184.317787450304,87411000
2016-09-29,183.33570861816406,185.20596044958225,182.78915213586723,184.80458160763706,128070600
2016-09-30,184.71920776367188,185.41947721610654,183.9164500021247,184.16410293469733,117202900
2016-10-03,184.27511596679688,184.49715006712572,183.6431547153356,184.30928307819204,83512100
2016-10-04,183.33570861816406,184.60816633315358,182.74646279471364,184.3861322416042,119948100
2016-10-05,184.1470184326172,184.57401610052685,183.89081722568446,183.95913841626216,72816000
2016-10-06,184.27511596679688,184.49715006712572,183.3869665345465,183.92497474513854,62927400
2016-10-07,183.6431884765625,184.71923115743763,182.9173001126535,184.54843466186713,89788300
2016-10-10,184.59967041015625,185.0608222465507,184.45449273886658,184.59967041015625,51855000
2016-10-11,182.2682342529297,184.24097459765528,181.54234597238792,184.1726534010862,130367400
2016-10-12,182.5073699951172,183.0283077312698,181.90956276636723,182.40488168196612,73866100
2016-10-13,181.90957641601562,182.40489536878093,180.37239494370476,181.18368806096598,101357000
2016-10-14,182.00347900390625,183.34425791539365,181.92662255228754,182.8830931438124,93346200
2016-10-17,181.3715362548828,182.23406686559122,181.19219149811556,181.97786565489582,58275700
2016-10-18,182.5073699951172,183.01975943712776,182.13160991908106,182.95998653281447,76869700
2016-10-19,182.994140625,183.30157950259496,182.41342998450736,182.77210650321214,66519200
2016-10-20,182.65252685546875,183.2076186121692,181.9949467972882,182.64397856230016,73639800
2016-10-21,182.73793029785156,182.82333504941005,181.69605487732855,182.65253857722863,89089100
2016-10-24,183.5150604248047,183.8822852017601,183.1649192035282,183.60900043463656,60146600
2016-10-25,182.90017700195312,183.59191112953658,182.7379158054218,183.33570992611527,66542300
2016-10-26,182.53297424316406,183.11368483726895,181.84122705063066,182.08035774160138,75705500
