Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-01-04 00:00:00-05:00,83.86201856678387,84.62324465317812,83.22019792613303,84.5784683227539,118944600,0.0,0.0,0.0
2010-01-05 00:00:00-05:00,84.52623982731122,84.83968557413895,84.22025300742887,84.8023681640625,111579900,0.0,0.0,0.0
2010-01-06 00:00:00-05:00,84.72028409317747,85.07104729014362,84.65311957997358,84.8620834350586,116074400,0.0,0.0,0.0
2010-01-07 00:00:00-05:00,84.7053632992123,85.32479595682022,84.46654664365528,85.2203140258789,131091100,0.0,0.0,0.0
2010-01-08 00:00:00-05:00,84.99642014981153,85.5412236652143,84.8247737050373,85.50390625,126402800,0.0,0.0,0.0
2010-01-11 00:00:00-05:00,85.88451871805663,85.92183043789896,85.25762147002342,85.6233139038086,106375700,0.0,0.0,0.0
2010-01-12 00:00:00-05:00,85.05610478220318,85.2352158046621,84.49637785491186,84.82475280761719,163333500,0.0,0.0,0.0
2010-01-13 00:00:00-05:00,85.04117170400748,85.78001531424748,84.60832056042112,85.54119873046875,161822000,0.0,0.0,0.0
2010-01-14 00:00:00-05:00,85.4441775454755,85.92927534282293,85.39193659461264,85.77255249023438,115718800,0.0,0.0,0.0
2010-01-15 00:00:00-05:00,85.62331023521338,85.70539829288457,84.48146233527316,84.8098373413086,212283100,0.0,0.0,0.0
2010-01-19 00:00:00-05:00,84.79492622794766,85.9218393569443,84.77253236111217,85.86959838867188,139172700,0.0,0.0,0.0
2010-01-20 00:00:00-05:00,85.28747943805296,85.41434954212454,84.31728925570533,84.99642181396484,216490200,0.0,0.0,0.0
2010-01-21 00:00:00-05:00,85.01882334605124,85.28002821719738,83.25754808083842,83.36203002929688,344859600,0.0,0.0,0.0
2010-01-22 00:00:00-05:00,82.98885626345728,83.39186039646722,81.41415714318863,81.50371551513672,345942400,0.0,0.0,0.0
2010-01-25 00:00:00-05:00,82.25002113318041,82.39928509175049,81.65298238041358,81.92164611816406,186937500,0.0,0.0,0.0
2010-01-26 00:00:00-05:00,81.60071152794524,82.4440369857457,81.37682419723488,81.57832336425781,211168800,0.0,0.0,0.0
2010-01-27 00:00:00-05:00,81.47386812644613,82.15300634761331,80.84697656275765,81.9664306640625,271863600,0.0,0.0,0.0
2010-01-28 00:00:00-05:00,82.23508959520112,82.27986593150325,80.53352048967243,81.02607727050781,316104000,0.0,0.0,0.0
2010-01-29 00:00:00-05:00,81.37684737541109,81.94403902366616,80.01857668442182,80.14544677734375,310677600,0.0,0.0,0.0
2010-02-01 00:00:00-05:00,80.71265962044974,81.3992569206241,80.22756159760337,81.39179229736328,187865000,0.0,0.0,0.0
2010-02-02 00:00:00-05:00,81.54103668845353,82.53361497760442,81.25743801112081,82.37689208984375,216327900,0.0,0.0,0.0
2010-02-03 00:00:00-05:00,82.00374238446987,82.4515285800622,81.72761401687099,81.9664306640625,172730700,0.0,0.0,0.0
2010-02-04 00:00:00-05:00,81.33206416060034,81.36937587627416,79.42152553160986,79.43645477294922,356715700,0.0,0.0,0.0
2010-02-05 00:00:00-05:00,79.52599690473757,79.76481348997739,78.04832106289004,79.60063171386719,493585800,0.0,0.0,0.0
2010-02-08 00:00:00-05:00,79.66033412934812,80.1006556031368,78.96627251670643,79.0259780883789,224166900,0.0,0.0,0.0
2010-02-09 00:00:00-05:00,79.9513997479151,80.71263162902116,79.30957902221286,80.01856994628906,337820500,0.0,0.0,0.0
2010-02-10 00:00:00-05:00,79.8916997126225,80.30216274741119,79.19017341054803,79.86184692382812,240511500,0.0,0.0,0.0
2010-02-11 00:00:00-05:00,79.75737837692637,80.78727414067001,79.2946686138216,80.69771575927734,223591600,0.0,0.0,0.0
2010-02-12 00:00:00-05:00,79.84691888086931,80.67531527737461,79.48869679763517,80.63053894042969,304622100,0.0,0.0,0.0
2010-02-16 00:00:00-05:00,81.24250197370367,81.98133995781451,80.46634658183653,81.89924621582031,159317500,0.0,0.0,0.0
